tier,locationLon,locationLat,xps,main_image_path,eng_cat,tags_count
1,-5.776668800000039,40.1112793,1000,data_main/002b3c1f-37f0-4d36-84d4-2d7132f83fe7/main.jpg,Mid,5
2,-3.7144721714750144,40.41045692716875,250,data_main/005fe23a-7f9e-4a57-a24a-1e9a6f1c1702/main.jpg,High,1
1,-3.711619974229129,40.40671367192122,800,data_main/00761a42-1b02-42f3-b2b2-211ffd985118/main.jpg,High,13
3,-3.714566685108879,40.41298439281315,150,data_main/0089bb20-c132-496c-b215-1986fcfa9d4b/main.jpg,High,0
2,-3.65262452151644,40.45075556104791,600,data_main/00f483bf-a5a2-4009-bc67-b9f3f2e73488/main.jpg,Low,13
1,-3.700926972454831,40.4257331392528,900,data_main/00fa60a5-e811-4dc6-9c95-7c1938678277/main.jpg,Mid,10
1,-92.93376,18.0017922,1000,data_main/010e40bf-ec41-4494-a670-00af7f40ebbd/main.jpg,Low,3
2,-3.699693697942533,40.44204451855193,250,data_main/0123a69b-13ac-4b65-a5d5-71a95560cff5/main.jpg,High,0
1,-6.064495999999963,37.4127852,1000,data_main/01b8d584-4453-4151-bce3-431c60814662/main.jpg,Mid,4
2,-3.712595448820414,40.44420091117868,700,data_main/01caa1f2-b036-4e99-add1-c9a5ae3b8dea/main.jpg,Low,13
1,-3.712636145349408,40.42683759373693,900,data_main/01efb07c-34cb-489b-8078-e1e3fb9c5407/main.jpg,High,10
1,-3.727822373257623,40.43966478861165,500,data_main/023fc1bf-a1cd-4b9f-af78-48792ab1a294/main.jpg,Mid,0
1,114.58284372023776,38.14240130157928,1000,data_main/02812142-c94b-4af9-9fe7-155323924e25/main.jpg,Mid,4
1,-3.7168897187354406,40.42427471312992,500,data_main/029ecec3-11c4-49ce-b3c0-0ba911578f80/main.jpg,High,0
2,-3.769967015074472,40.3807270904772,700,data_main/02cbbb29-0a64-400a-a623-7af4f5ca5088/main.jpg,Low,13
2,-3.717824681166584,40.48245495343956,600,data_main/0383b506-5ce7-4e6b-9002-b8a5d6572f05/main.jpg,High,13
1,-10.536717037024346,51.77279034078592,1000,data_main/03931736-9127-4aae-9c69-600690b5ac54/main.jpg,High,6
2,-3.681440293157008,40.41978743788123,600,data_main/03998931-a8de-4585-8f6b-0dc727e2a192/main.jpg,Low,13
2,-3.6907052671427607,40.4347685298448,600,data_main/03c5c1a2-0827-491e-82ba-5ce9c24bd4b7/main.jpg,Low,10
1,-8.813055555555556,42.5135,1000,data_main/04042e2c-65d2-4202-a315-e89e9f4b66dc/main.jpg,Mid,10
2,-3.690812349242732,40.4409458682937,250,data_main/045d3b2e-4dd5-4da1-a294-ea9ee22f64e4/main.jpg,Low,0
